dataset,person,site,beta_mean,beta_sd,sigma,p_outlier,p_gt0,p_lt0,p_near,p_in_direction,p_opposite_direction,effect_direction,responder,near_zero,opposite,high_precision
Stroop,679712,MichiganStateUniversity,-0.0522765586595412,0.03245595143571071,0.03245595143571071,NA,0.05362337690053032,0.9463766230994697,0.14701982081847287,0.9463766230994697,0.05362337690053032,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679729,MichiganStateUniversity,-0.04876812167153425,0.03066949214903375,0.03066949214903375,NA,0.05590406736191389,0.9440959326380861,0.16164786278857712,0.9440959326380861,0.05590406736191389,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679819,MichiganStateUniversity,-0.0610049258799705,0.03327670115633782,0.03327670115633782,NA,0.03338177715871948,0.9666182228412805,0.10146882700758486,0.9666182228412805,0.03338177715871948,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679828,MichiganStateUniversity,-0.0613025822410065,0.03159019479000068,0.03159019479000068,NA,0.02615600047961908,0.9738439995203809,0.09049867815030255,0.9738439995203809,0.02615600047961908,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679833,MichiganStateUniversity,-0.057050085829035,0.0307722472453602,0.0307722472453602,NA,0.03187344032723605,0.968126559672764,0.10815096012351255,0.968126559672764,0.03187344032723605,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679835,MichiganStateUniversity,-0.05716353288732375,0.03220743872267812,0.03220743872267812,NA,0.03796091804833368,0.9620390819516663,0.11598319874997198,0.9620390819516663,0.03796091804833368,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679844,MichiganStateUniversity,-0.03637023449730103,0.03163696412203556,0.03163696412203556,NA,0.12515185088170022,0.8748481491182998,0.2650322434356388,0.8748481491182998,0.12515185088170022,-1,FALSE,FALSE,FALSE,TRUE
Stroop,679852,MichiganStateUniversity,-0.0949040381534975,0.03179689892042559,0.03179689892042559,NA,0.0014193070655861284,0.9985806929344139,0.009092918889169077,0.9985806929344139,0.0014193070655861284,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679860,MichiganStateUniversity,-0.06792904821453292,0.0321700383878716,0.0321700383878716,NA,0.017361993887698324,0.9826380061123017,0.06499417961215703,0.9826380061123017,0.017361993887698324,-1,TRUE,FALSE,FALSE,TRUE
Stroop,679867,MichiganStateUniversity,-0.053461764964896,0.03399049941798488,0.03399049941798488,NA,0.05787743175046545,0.9421225682495346,0.14711022341293378,0.9421225682495346,0.05787743175046545,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679888,MichiganStateUniversity,-0.0843234616799775,0.03322759655951381,0.03322759655951381,NA,0.00557832090714705,0.994421679092853,0.025597660523927757,0.994421679092853,0.00557832090714705,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679889,MichiganStateUniversity,-0.051920039851763,0.03478454266602431,0.03478454266602431,NA,0.0677685843088155,0.9322314156911845,0.16006155776757447,0.9322314156911845,0.0677685843088155,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679960,MichiganStateUniversity,-0.06860641798839225,0.033883963327101,0.033883963327101,NA,0.021446728125666503,0.9785532718743335,0.07125392156045618,0.9785532718743335,0.021446728125666503,-1,TRUE,FALSE,FALSE,FALSE
Stroop,679979,MichiganStateUniversity,-0.04910569142585775,0.03109087157575608,0.03109087157575608,NA,0.05711933442255668,0.9428806655774433,0.1614802072394197,0.9428806655774433,0.05711933442255668,-1,TRUE,FALSE,FALSE,TRUE
